Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
Patrick Henry Elementary School,ES,4250 N Saint Louis Ave ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609988.pdf,No,Average,45.0,Average,56,Average,46.0,Average,43.0,Strong,68,Average,45,Average,52,Average,49,95.1%,4.3,95.9%,100.0%,56.6,35.5,42.1,38.1,68.2,61.3,30.4,48.2,44.6,75,NDA,NDA,12.5,12.3,0.6,1.0,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,650,31,NDA,16,IRVING PARK,33,17,0,609988
Laughlin Falconer Elementary School,ES,3020 N Lamon Ave ,60641,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609910.pdf,No,Average,54.0,Weak,24,Average,48.0,Weak,27.0,Weak,22,Weak,30,Average,49,Average,53,96.1%,5.7,97.0%,99.5%,71.7,42.9,47.7,28.5,46.9,63.4,72,33.3,77.2,59.1,NDA,NDA,21.0,14.2,1.1,0.8,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1520,29,NDA,19,BELMONT CRAGIN,31,25,0,609910
Hope College Preparatory High School,HS,5515 S Lowe Ave ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609768.pdf,No,Weak,31.0,Average,51,Weak,37.0,Average,44.0,Average,56,Weak,35,NDA,NDA,NDA,NDA,72.2%,24.0,94.3%,99.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.3,13,13.7,13.5,1.2,15,1.3,16.7,55.2,58.2,561,45,63.6,68,ENGLEWOOD,3,7,1,609768
William H Seward Communication Arts Academy Elementary School,ES,4600 S Hermitage Ave ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610167.pdf,No,Average,40.0,Average,43,Weak,38.0,Average,41.0,Strong,66,Strong,63,Average,49,Average,50,95.7%,14.4,95.7%,100.0%,58.6,NDA,25.2,28.2,49.1,58.8,45.3,33.9,57.8,51.3,12.5,25,12.2,7.9,-1.1,-0.5,Red,Yellow,43.3,46.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,896,42,NDA,61,NEW CITY,20,9,0,610167
Foster Park Elementary School,ES,8530 S Wood St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609927.pdf,No,Very Weak,11.0,Average,41,Weak,20.0,Weak,22.0,Average,50,Average,46,Weak,46,Average,48,93.7%,33.6,94.7%,97.1%,NDA,59.1,23.4,17.1,41.2,40.3,29.2,15.9,45.1,29.3,4,25.5,8.0,5.7,-1.1,-2.1,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,418,43,NDA,71,AUBURN GRESHAM,18,6,1,609927
Ames Middle School,MS,1920 N Hamlin Ave ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609780.pdf,No,Weak,38.0,Very Weak,17,Weak,27.0,Weak,35.0,Weak,26,Weak,26,Average,50,Average,50,94.3%,5.3,96.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,35.1,27.9,76.8,51.1,9.2,18.4,14.5,3.0,-1.9,-1.5,Red,Red,28.8,55,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,586,34,NDA,22,LOGAN SQUARE,26,25,1,609780
Charles Evans Hughes Elementary School,ES,4247 W 15th St ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610005.pdf,No,Average,42.0,NDA,NDA,Very Strong,82.0,Strong,72.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.4%,0.0,94.7%,100.0%,69.2,63.3,32.6,16.9,40.3,76,54.8,20.8,69.6,45.8,5.9,23.5,12.2,4.7,0.5,-1.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,315,36,NDA,29,NORTH LAWNDALE,24,10,1,610005
Pershing West Middle School,MS,3200 S Calumet Ave ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610395.pdf,No,Average,46.0,Average,53,Weak,34.0,Average,55.0,Strong,76,Average,58,NDA,NDA,NDA,NDA,96.2%,3.7,97.6%,100.0%,NDA,NDA,52.7,45,40.6,60,43.7,54.1,48.7,52.9,15.4,28.8,17.5,21.4,-0.9,-0.5,Red,Yellow,40.7,50,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,269,40,NDA,35,DOUGLAS,2,2,0,610395
Helen Peirce International Studies Elementary School,ES,1423 W Bryn Mawr Ave ,60660,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610122.pdf,No,Average,58.0,NDA,NDA,Weak,32.0,Weak,22.0,NDA,NDA,NDA,NDA,Average,47,Average,47,96.7%,5.8,95.8%,100.0%,57.2,58.2,56.4,47.2,52.4,63.3,52.8,49.1,49.1,57.3,25.9,35.2,25.5,20.5,-1.9,-1.4,Red,Red,100,5.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,977,32,NDA,77,EDGEWATER,48,20,0,610122
Charles H Wacker Elementary School,ES,9746 S Morgan St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610366.pdf,No,Weak,32.0,NDA,NDA,Weak,34.0,Weak,32.0,NDA,NDA,NDA,NDA,Average,50,Weak,41,93.4%,11.5,93.4%,100.0%,64.5,53.9,20.8,31,34.8,40.6,66.7,60,85.7,67.2,7.7,23.1,17.4,15.9,1.8,0.0,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,246,49,NDA,73,WASHINGTON HEIGHTS,21,22,1,610366
Charles S Deneen Elementary School,ES,7240 S Wabash Ave ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609883.pdf,No,Average,55.0,Weak,33,Average,49.0,Average,51.0,Very Weak,15,Average,49,NDA,NDA,NDA,NDA,93.8%,39.5,97.1%,100.0%,45.9,NDA,20.6,18.4,51.8,44.3,20,26.8,61.3,54.4,2.2,4.4,9.4,6.8,2.8,-0.5,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,551,46,NDA,69,GREATER GRAND CROSSING,6,3,1,609883
West Pullman Elementary School,ES,11941 S Parnell Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610224.pdf,No,Weak,23.0,Average,46,Average,55.0,Average,47.0,Average,57,Average,50,Average,47,Weak,44,91.2%,7.6,93.8%,100.0%,31,28.8,12.6,15.5,45.9,43.5,25.7,22.5,32,38.8,9.7,22.6,5.7,5.7,-0.9,-1.3,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,343,48,NDA,53,WEST PULLMAN,34,5,1,610224
Rufus M Hitch Elementary School,ES,5625 N McVicker Ave ,60646,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609995.pdf,Yes,Strong,64.0,Strong,77,Average,55.0,Average,58.0,Strong,65,Strong,70,Strong,55,Strong,54,95.1%,3.7,96.6%,98.6%,73.7,27.6,62.2,51.7,50,67.8,56.5,54.8,52,63.3,22.9,37.5,29.5,24.7,-0.1,0.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,542,30,NDA,10,NORWOOD PARK,45,16,0,609995
Joseph Warren Elementary School,ES,9239 S Jeffery Ave ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610218.pdf,No,Weak,33.0,Average,55,Average,49.0,Average,40.0,NDA,NDA,NDA,NDA,Weak,46,Average,50,95.0%,21.6,95.3%,100.0%,38.6,20,26.1,21.5,55.3,46.4,33.3,27,45.6,35,8.6,25.7,13.7,14.7,-1.0,-0.4,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,328,47,NDA,48,CALUMET HEIGHTS,8,4,0,610218
William G Hibbard Elementary School,ES,3244 W Ainslie St ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609994.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,49,Average,50,96.5%,3.0,96.9%,99.3%,70.7,20.7,38.3,27.2,40,46.7,38.8,34.7,33.9,38.3,NDA,NDA,19.3,15.3,0.5,-0.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1239,31,NDA,14,ALBANY PARK,39,17,0,609994
George H Corliss High School,HS,821 E 103rd St ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609761.pdf,No,Weak,33.0,Average,52,Average,40.0,Average,48.0,Average,48,Average,54,NDA,NDA,NDA,NDA,71.3%,23.4,95.2%,98.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12,11.4,13,12.9,0.9,14.3,1.3,10.6,42.8,44,621,48,76.2,50,PULLMAN,9,5,1,609761
Al Raby High School,HS,3545 W Fulton Blvd ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610334.pdf,No,Average,52.0,NDA,NDA,Average,51.0,Average,53.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,80.3%,14.0,95.1%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,13,14.1,14,1.2,15.2,1.1,13.5,72.2,64.2,551,34,74.3,27,EAST GARFIELD PARK,28,11,1,610334
Ferdinand Peck Elementary School,ES,3826 W 58th St ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610120.pdf,No,Average,51.0,Average,43,Average,43.0,Average,47.0,Weak,32,Weak,37,Weak,44,Weak,43,96.3%,1.2,97.2%,96.9%,74.4,59,50.8,31.3,53.3,69.5,44,40.2,71.4,64.1,24.1,38.6,23.2,13.8,0.7,1.1,Green,Green,17.8,87.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1560,44,NDA,62,WEST ELSDON,13,8,0,610120
Alcott High School for the Humanities,HS,2957 N Hoyne Ave ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610524.pdf,No,Strong,70.0,NDA,NDA,Strong,67.0,Average,51.0,NDA,NDA,NDA,NDA,Strong,57,Weak,43,92.7%,7.1,96.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.7,13.7,NDA,16,1.3,NDA,NDA,NDA,NDA,NDA,232,33,87.6,5,NORTH CENTER,1,19,0,610524
Marcus Moziah Garvey Elementary School,ES,10309 S Morgan St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610128.pdf,No,Average,50.0,NDA,NDA,Average,50.0,Average,48.0,NDA,NDA,NDA,NDA,Average,49,Average,51,94.0%,20.5,96.0%,100.0%,69.3,62.7,40.4,47.4,60.2,59.8,55.4,52.9,73.1,63.9,10.3,48.7,22.4,18.5,0.1,0.9,Yellow,Green,30.8,69.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,356,49,NDA,73,WASHINGTON HEIGHTS,34,22,0,610128
George Washington High School,HS,3535 E 114th St ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609739.pdf,No,Average,46.0,Average,53,Weak,36.0,Weak,36.0,Average,52,Average,46,NDA,NDA,NDA,NDA,80.2%,12.7,95.1%,99.5%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.4,13.6,14.3,14.1,0.7,15.5,1.2,14,71.6,50.9,1524,47,78.6,52,EAST SIDE,10,4,1,609739
Cesar E Chavez Multicultural Academic Center Elementary School,ES,4747 S Marshfield Ave ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610148.pdf,No,Average,54.0,Average,52,Strong,63.0,Average,52.0,Average,57,Average,50,Weak,45,Average,51,95.1%,11.1,96.1%,100.0%,59.6,37.8,37.7,16.5,49.8,74.2,62.7,28,80.7,63.3,9.2,10.8,19.8,8.4,2.0,0.0,Green,Yellow,44.6,18.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,915,42,NDA,61,NEW CITY,20,9,0,610148
Thomas Kelly High School,HS,4136 S California Ave ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609715.pdf,No,Weak,36.0,Average,53,Weak,36.0,Weak,35.0,Strong,61,Average,57,NDA,NDA,NDA,NDA,89.3%,5.8,95.3%,99.7%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.4,13.4,15.1,14.6,1.2,17.1,2,22.1,67.4,46.4,2883,39,65.6,58,BRIGHTON PARK,14,9,0,609715
Christopher Columbus Elementary School,ES,1003 N Leavitt St ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609863.pdf,No,Strong,66.0,NDA,NDA,Average,57.0,Average,55.0,NDA,NDA,NDA,NDA,Strong,54,Average,48,95.5%,2.4,96.9%,92.6%,77,72.3,59.2,48.7,57.7,62.5,76.2,56.9,78.8,63,40,45,42.0,30.5,1.1,1.6,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,309,35,NDA,24,WEST TOWN,32,13,0,609863
Richard J Oglesby Elementary School,ES,7646 S Green St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610102.pdf,No,Average,44.0,Average,40,Average,49.0,Average,49.0,Average,43,Weak,32,Weak,46,Weak,46,94.4%,25.4,96.9%,100.0%,NDA,NDA,26.9,18.8,46.4,48.2,32.5,30.7,58.1,56.7,14.3,22.9,5.1,7.5,0.7,0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,402,45,NDA,71,AUBURN GRESHAM,17,6,1,610102
Brighton Park Elementary School,ES,3825 S Washtenaw Ave ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610317.pdf,No,Average,55.0,NDA,NDA,Average,49.0,Average,43.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,96.3%,2.6,95.9%,100.0%,64.5,50,37.7,32.2,51.2,58.8,46.1,39.7,64.7,53.9,6,20.9,18.6,11.4,0.8,0.2,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,691,39,NDA,58,BRIGHTON PARK,12,9,0,610317
Lorenz Brentano Math & Science Academy Elementary School,ES,2723 N Fairfield Ave ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609809.pdf,No,Average,57.0,Average,47,Average,43.0,Average,46.0,Weak,30,Weak,32,NDA,NDA,NDA,NDA,94.7%,9.2,97.7%,100.0%,48.5,42.6,44.2,30.8,50.9,56.1,54.4,30.9,48.9,46.6,20.8,28.3,18.4,8.2,-1.6,-1.0,Red,Red,48.1,3.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,455,31,NDA,22,LOGAN SQUARE,35,14,0,609809
Sharon Christa McAuliffe Elementary School,ES,1841 N Springfield Ave ,60647,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609968.pdf,Yes,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,52,Strong,56,93.9%,14.2,95.7%,98.9%,64.7,25.1,34.4,24.4,39.5,56.1,27.5,21.6,37.5,44.7,NDA,NDA,10.4,11.0,-1.0,-0.9,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,862,34,NDA,20,HERMOSA,30,25,1,609968
West Park Elementary Academy,ES,1425 N Tripp Ave ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610100.pdf,No,Weak,29.0,NDA,NDA,Weak,36.0,Average,40.0,NDA,NDA,NDA,NDA,Weak,46,Average,47,93.7%,16.3,96.7%,100.0%,60.7,44.4,22,17.6,39.2,37.3,29,26.4,61.2,51.2,9.2,15.4,10.8,6.9,-0.3,-0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,686,34,NDA,23,HUMBOLDT PARK,37,25,1,610100
Marquette Elementary School,ES,6550 S Richmond St ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610053.pdf,No,Very Weak,15.0,NDA,NDA,Very Weak,17.0,Very Weak,17.0,NDA,NDA,NDA,NDA,Weak,43,Weak,46,93.1%,64.6,95.3%,99.3%,54.4,21.8,22.6,16.2,42,40,14.2,16.2,31.2,40.2,4.2,13.2,6.8,4.6,-1.4,-0.6,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1390,44,NDA,66,CHICAGO LAWN,15,8,1,610053
Martha Ruggles Elementary School,ES,7831 S Prairie Ave ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610152.pdf,No,Average,43.0,NDA,NDA,Weak,37.0,Average,41.0,NDA,NDA,NDA,NDA,Average,48,Weak,46,93.9%,30.9,96.7%,98.0%,NDA,49.3,23.6,21.9,55,57.6,26.8,24.4,51.3,56.5,8.8,26.5,8.7,5.5,0.2,1.0,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,417,46,NDA,69,GREATER GRAND CROSSING,6,6,1,610152
Ronald E McNair Elementary School,ES,4820 W Walton St ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610282.pdf,No,Weak,31.0,Weak,30,Average,56.0,Average,59.0,Weak,32,Weak,20,Average,47,Average,53,90.7%,52.8,96.5%,100.0%,65.4,47.7,36.6,27,47,55.1,36.1,26.8,45.7,54.9,4.5,9.1,9.8,5.6,-1.2,-1.7,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,422,36,NDA,25,AUSTIN,37,15,1,610282
Lincoln Park High School,HS,2001 N Orchard St ,60614,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609738.pdf,No,Strong,65.0,Strong,61,Average,44.0,Average,49.0,Average,45,Average,45,NDA,NDA,NDA,NDA,84.6%,9.2,96.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,17.7,18,18.6,19,1.3,21.6,3,53.6,77.9,75.5,2342,33,74.4,7,LINCOLN PARK,43,18,0,609738
Elizabeth Peabody Elementary School,ES,1444 W Augusta Blvd ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610119.pdf,No,Average,51.0,Average,58,Average,50.0,Strong,61.0,Average,57,Average,55,Average,52,Average,49,95.2%,7.6,97.0%,100.0%,66.2,NDA,18.4,10.5,32.4,43.5,45,30.4,56.4,46.7,14.3,28.6,9.1,5.9,-1.1,-0.8,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,289,35,NDA,24,WEST TOWN,27,13,0,610119
Arna Wendell Bontemps Elementary School,ES,1241 W 58th St ,60636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610161.pdf,No,Weak,33.0,NDA,NDA,Average,48.0,Average,59.0,NDA,NDA,NDA,NDA,Average,53,Average,52,94.2%,31.2,95.8%,100.0%,36.4,26.9,25.7,20.8,64.3,64.8,28.7,22.1,54.3,51.9,0,18.8,7.5,4.2,-1.1,-2.5,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,345,43,NDA,67,WEST ENGLEWOOD,16,7,1,610161
Dunne Technology Academy,ES,10845 S Union Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610188.pdf,No,Average,46.0,Average,53,Strong,65.0,Strong,71.0,Average,51,Average,59,Average,49,Average,47,94.6%,22.8,96.4%,100.0%,53.6,38.8,36.3,31.4,55.8,71.1,39.4,37.7,57,49.5,9.6,25,24.7,17.2,2.8,1.8,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,310,49,NDA,49,ROSELAND,34,22,0,610188
Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609993.pdf,No,Average,56.0,Average,44,Average,45.0,Weak,37.0,Strong,65,Average,48,Average,53,Strong,58,95.5%,10.4,95.8%,100.0%,76.9,NDA,26,24.7,61.8,49.7,39.2,27.2,69.7,60.6,9.1,18.2,11.1,9.6,0.9,2.4,Green,Green,42.9,25,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,556,42,NDA,61,NEW CITY,20,9,0,609993
Jean D Lafayette Elementary School,ES,2714 W Augusta Blvd ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610031.pdf,No,Average,44.0,Average,53,Average,43.0,Weak,38.0,Very Strong,80,Strong,72,Average,52,Average,52,94.1%,14.3,96.3%,98.6%,54.6,12,25.3,23.3,44.9,45.6,26,22.7,48.3,46.7,11.3,26.4,8.3,6.2,-0.3,-1.3,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,474,34,NDA,24,WEST TOWN,1,13,1,610031
James E McDade Elementary Classical School,ES,8801 S Indiana Ave ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610066.pdf,No,Very Strong,99.0,NDA,NDA,Average,57.0,Average,52.0,NDA,NDA,NDA,NDA,Strong,61,Average,52,96.2%,0.0,94.3%,100.0%,NDA,NDA,87.7,82.2,50.7,48.1,NDA,90,NDA,45,NDA,NDA,73.3,74.1,-1.1,-0.7,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,199,45,NDA,44,CHATHAM,6,6,0,610066
Songhai Elementary Learning Institute,ES,11725 S Perry Ave ,60628,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610160.pdf,No,Very Weak,17.0,NDA,NDA,Average,47.0,Average,54.0,NDA,NDA,NDA,NDA,Weak,46,Weak,46,89.5%,84.7,95.4%,100.0%,24.8,NDA,13.8,16.3,35.8,36.8,25.6,22.5,70,67.2,7.4,25.9,3.6,3.6,0.1,-1.4,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,352,48,NDA,53,WEST PULLMAN,34,5,1,610160
Emmett Louis Till Math and Science Academy,ES,6543 S Champlain Ave ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610065.pdf,No,Weak,31.0,Weak,31,Average,47.0,Average,40.0,Average,49,Average,42,Average,47,Average,48,88.0%,95.7,93.3%,90.5%,34.3,NDA,15.8,7.9,39.4,43.1,15.1,15.5,43.6,52.5,4.5,23.3,3.2,3.5,-0.4,-1.6,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,471,46,NDA,42,WOODLAWN,20,3,1,610065
Edward A Bouchet Math & Science Academy Elementary School,ES,7355 S Jeffery Blvd ,60649,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609815.pdf,No,Weak,33.0,Average,57,Average,55.0,Average,50.0,Average,53,Average,58,Average,50,Average,48,92.9%,28.0,95.9%,98.3%,57.6,42.4,13.7,21.7,51.6,44.8,15.7,34.7,48.2,66.5,0,23.7,5.6,7.6,-0.2,0.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,783,46,NDA,43,SOUTH SHORE,5,3,1,609815
Turner-Drew Elementary Language Academy,ES,9300 S Princeton Ave ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609895.pdf,No,Average,56.0,Average,56,Average,48.0,Average,51.0,Strong,75,Strong,66,NDA,NDA,NDA,NDA,95.8%,24.0,95.2%,100.0%,80.2,54.2,46.3,46,54.5,60.5,68.8,55.3,57.9,52.2,18.4,44.9,24.2,23.2,0.1,0.9,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,373,48,NDA,49,ROSELAND,21,6,0,609895
Oliver Wendell Holmes Elementary School,ES,955 W Garfield Blvd ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609997.pdf,No,Weak,21.0,NDA,NDA,Weak,23.0,Average,41.0,NDA,NDA,NDA,NDA,Average,48,Average,48,87.0%,139.8,92.4%,97.9%,40,30.5,17.7,8,28.8,33.1,20.8,8.8,41.8,20.2,3.1,9.4,5.0,3.0,-0.8,-2.3,Red,Red,9.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,334,45,NDA,68,ENGLEWOOD,16,7,1,609997
